Filename, Number of Infected, Total Number, Infection Percentage
Verilog3/Infected/Inf_gate_level_248_in2_out32_gates53.v, 2057, 92501, 0.02223759743137912
Verilog3/Infected/Inf_gate_level_730_in8_out16_gates51.v, 4016, 72277, 0.055564010681129546
Verilog3/Infected/Inf_gate_level_391_in4_out8_gates18.v, 3314, 30656, 0.10810281837160751
Verilog3/Infected/Inf_gate_level_360_in4_out4_gates43.v, 3261, 53903, 0.06049756043262898
Verilog3/Infected/Inf_gate_level_901_in16_out8_gates12.v, 3037, 22765, 0.13340654513507577
Verilog3/Infected/Inf_gate_level_289_in4_out2_gates32.v, 3039, 39473, 0.07698933448179768
Verilog3/Infected/Inf_gate_level_1521_in64_out32_gates36.v, 3222, 72417, 0.044492315340320644
Verilog3/Infected/Inf_gate_level_850_in16_out4_gates17.v, 2941, 24398, 0.1205426674317567
Verilog3/Infected/Inf_gate_level_1503_in64_out16_gates50.v, 6783, 74695, 0.09080929111720999
Verilog3/Infected/Inf_gate_level_1449_in64_out8_gates44.v, 1945, 56593, 0.03436820808227166
Verilog3/Infected/Inf_gate_level_1491_in64_out16_gates38.v, 6237, 60691, 0.10276647278838708
Verilog3/Infected/Inf_gate_level_890_in16_out4_gates57.v, 3272, 66564, 0.049155699777657595
Verilog3/Infected/Inf_gate_level_629_in8_out4_gates54.v, 2156, 63076, 0.03418098801445875
Verilog3/Infected/Inf_gate_level_623_in8_out4_gates48.v, 3207, 58701, 0.05463280012265549
Verilog3/Infected/Inf_gate_level_1382_in64_out4_gates33.v, 3040, 42956, 0.0707700903249837
Verilog3/Infected/Inf_gate_level_1489_in64_out16_gates36.v, 3215, 56658, 0.05674397260757528
Verilog3/Infected/Inf_gate_level_288_in4_out2_gates31.v, 1942, 38041, 0.05105018269761573
Verilog3/Infected/Inf_gate_level_853_in16_out4_gates20.v, 3086, 27826, 0.11090347157334866
Verilog3/Infected/Inf_gate_level_285_in4_out2_gates28.v, 1948, 34099, 0.057127775008064756
Verilog3/Infected/Inf_gate_level_318_in4_out2_gates61.v, 2008, 69452, 0.028912054368484708
Verilog3/Infected/Inf_gate_level_677_in8_out8_gates46.v, 4001, 60756, 0.06585357824741589
Verilog3/Infected/Inf_gate_level_1279_in32_out32_gates52.v, 2866, 89932, 0.031868522883956765
Verilog3/Infected/Inf_gate_level_42_in2_out2_gates43.v, 3161, 53264, 0.05934589966957044
Verilog3/Infected/Inf_gate_level_363_in4_out4_gates46.v, 3167, 56282, 0.05627021072456558
Verilog3/Infected/Inf_gate_level_693_in8_out8_gates62.v, 6356, 78349, 0.08112420069177653
Verilog3/Infected/Inf_gate_level_316_in4_out2_gates59.v, 1964, 68119, 0.028831897121214346
Verilog3/Infected/Inf_gate_level_1068_in32_out2_gates37.v, 2116, 43387, 0.04877036900454053
Verilog3/Infected/Inf_gate_level_616_in8_out4_gates41.v, 7276, 53786, 0.1352768378388428
Verilog3/Infected/Inf_gate_level_130_in2_out8_gates15.v, 2912, 26983, 0.10791980135640959
Verilog3/Infected/Inf_gate_level_870_in16_out4_gates37.v, 3096, 45658, 0.06780848920233037
Verilog3/Infected/Inf_gate_level_233_in2_out32_gates38.v, 2177, 76545, 0.028440786465477822
Verilog3/Infected/Inf_gate_level_735_in8_out16_gates56.v, 2139, 76890, 0.027818962153726104
Verilog3/Infected/Inf_gate_level_535_in8_out2_gates20.v, 2066, 24221, 0.08529788200322035
Verilog3/Infected/Inf_gate_level_545_in8_out2_gates30.v, 3991, 37195, 0.10729936819464982
Verilog3/Infected/Inf_gate_level_1484_in64_out16_gates31.v, 3374, 50965, 0.06620229569312273
Verilog3/Infected/Inf_gate_level_831_in16_out2_gates58.v, 3114, 67296, 0.04627318116975749
Verilog3/Infected/Inf_gate_level_411_in4_out8_gates38.v, 5476, 52584, 0.10413814087935494
Verilog3/Infected/Inf_gate_level_732_in8_out16_gates53.v, 2203, 73893, 0.02981337880448757
