Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog3/Infected/Inf_gate_level_1544_NOR.v, 17117, 257108, 0.06657513574062261
NORVerilog3/Infected/Inf_gate_level_1435_NOR.v, 6447, 103539, 0.0622663923738881
NORVerilog3/Infected/Inf_gate_level_1270_NOR.v, 12568, 171299, 0.07336878790886112
NORVerilog3/Infected/Inf_gate_level_56_NOR.v, 20058, 210424, 0.0953218264076341
NORVerilog3/Infected/Inf_gate_level_671_NOR.v, 5522, 143644, 0.03844226003174515
NORVerilog3/Infected/Inf_gate_level_1098_NOR.v, 4433, 30262, 0.1464873438635913
NORVerilog3/Infected/Inf_gate_level_1378_NOR.v, 6774, 121443, 0.05577925446505768
NORVerilog3/Infected/Inf_gate_level_1439_NOR.v, 13464, 129923, 0.10363061197786382
NORVerilog3/Infected/Inf_gate_level_1379_NOR.v, 13239, 112302, 0.11788748196826415
NORVerilog3/Infected/Inf_gate_level_155_NOR.v, 4592, 146675, 0.03130731208454065
NORVerilog3/Infected/Inf_gate_level_713_NOR.v, 9135, 130721, 0.06988165635207809
NORVerilog3/Infected/Inf_gate_level_457_NOR.v, 8017, 157223, 0.050991267181010415
NORVerilog3/Infected/Inf_gate_level_1265_NOR.v, 14172, 187462, 0.07559932146248306
NORVerilog3/Infected/Inf_gate_level_1546_NOR.v, 19385, 262302, 0.07390336329879299
NORVerilog3/Infected/Inf_gate_level_433_NOR.v, 14147, 236385, 0.059847283034033465
NORVerilog3/Infected/Inf_gate_level_1400_NOR.v, 13193, 200090, 0.06593532910190414
NORVerilog3/Infected/Inf_gate_level_957_NOR.v, 7941, 93657, 0.08478810980492649
NORVerilog3/Infected/Inf_gate_level_1166_NOR.v, 7105, 77191, 0.09204440932233032
NORVerilog3/Infected/Inf_gate_level_1299_NOR.v, 7686, 35236, 0.21812918605971165
NORVerilog3/Infected/Inf_gate_level_475_NOR.v, 7768, 192262, 0.04040319980027254
NORVerilog3/Infected/Inf_gate_level_478_NOR.v, 13441, 230839, 0.05822672945212897
NORVerilog3/Infected/Inf_gate_level_1448_NOR.v, 6451, 162379, 0.03972804365096472
NORVerilog3/Infected/Inf_gate_level_550_NOR.v, 9664, 133991, 0.07212424715092805
NORVerilog3/Infected/Inf_gate_level_85_NOR.v, 4416, 93591, 0.04718402410488188
NORVerilog3/Infected/Inf_gate_level_437_NOR.v, 4394, 78615, 0.05589264135343128
NORVerilog3/Infected/Inf_gate_level_137_NOR.v, 5589, 85609, 0.065285191977479
NORVerilog3/Infected/Inf_gate_level_999_NOR.v, 28674, 269508, 0.10639387328019947
NORVerilog3/Infected/Inf_gate_level_572_NOR.v, 10381, 217726, 0.04767919311428125
NORVerilog3/Infected/Inf_gate_level_1215_NOR.v, 14324, 92985, 0.1540463515620799
NORVerilog3/Infected/Inf_gate_level_885_NOR.v, 18683, 189175, 0.09876040703052728
NORVerilog3/Infected/Inf_gate_level_1331_NOR.v, 14591, 141022, 0.10346612585270383
NORVerilog3/Infected/Inf_gate_level_1232_NOR.v, 7781, 134100, 0.05802386278896346
NORVerilog3/Infected/Inf_gate_level_998_NOR.v, 9140, 226612, 0.04033325684429774
NORVerilog3/Infected/Inf_gate_level_1325_NOR.v, 11341, 134897, 0.08407155088697302
